title,address,accsess,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
クレストコート蔵前レジデンス,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩12分
","
新築
15階建
","
											2階",18.3万円,18000円,18.3万円,-,2LDK,41.59m2
クレストコート蔵前レジデンス,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩12分
","
新築
15階建
","
											3階",18.5万円,18000円,18.5万円,-,2LDK,41.59m2
クレストコート蔵前レジデンス,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩12分
","
新築
15階建
","
											5階",18.9万円,18000円,18.9万円,-,2LDK,41.59m2
クレストコート蔵前レジデンス,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩12分
","
新築
15階建
","
											6階",19.1万円,18000円,19.1万円,-,2LDK,41.59m2
クレストコート蔵前レジデンス,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩12分
","
新築
15階建
","
											9階",19.7万円,18000円,19.7万円,-,2LDK,41.59m2
クレストコート蔵前レジデンス,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩12分
","
新築
15階建
","
											10階",19.9万円,18000円,19.9万円,-,2LDK,41.59m2
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩10分
","
新築
15階建
","
											2階",18.3万円,18000円,18.3万円,-,2LDK,41.59m2
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩10分
","
新築
15階建
","
											3階",18.5万円,18000円,18.5万円,-,2LDK,41.59m2
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩10分
","
新築
15階建
","
											5階",18.9万円,18000円,18.9万円,-,2LDK,41.59m2
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩10分
","
新築
15階建
","
											6階",19.1万円,18000円,19.1万円,-,2LDK,41.59m2
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩10分
","
新築
15階建
","
											9階",19.7万円,18000円,19.7万円,-,2LDK,41.59m2
都営大江戸線 蔵前駅 15階建 新築,東京都台東区駒形２,"
都営大江戸線/蔵前駅 歩2分
都営浅草線/浅草駅 歩5分
東京メトロ銀座線/田原町駅 歩10分
","
新築
15階建
","
											10階",19.9万円,18000円,19.9万円,-,2LDK,41.59m2
ＪＲ総武線 浅草橋駅 14階建 築3年,東京都台東区柳橋１,"
ＪＲ総武線/浅草橋駅 歩3分
ＪＲ総武線快速/馬喰町駅 歩7分
都営新宿線/浜町駅 歩13分
","
築3年
14階建
","
											2階",19.9万円,15000円,19.9万円,-,2LDK,40.19m2
